Class,Start,End,Days,model_timestamp
1950_Wet,01/05/1950,31/08/1950,122,122
1950_Dry,01/09/1950,31/03/1951,211,333
1951_Wet,01/04/1951,30/09/1951,182,515
1951_Dry,01/10/1951,30/04/1952,212,727
1952_Wet,01/05/1952,31/07/1952,91,818
1952_Dry,01/08/1952,30/04/1953,272,1090
1953_Wet,01/05/1953,31/07/1953,91,1181
1953_Dry,01/08/1953,30/04/1954,272,1453
1954_Wet,01/05/1954,31/07/1954,91,1544
1954_Dry,01/08/1954,30/04/1955,272,1816
1955_Wet,01/05/1955,31/08/1955,122,1938
1955_Dry,01/09/1955,30/04/1956,242,2180
1956_Wet,01/05/1956,31/07/1956,91,2271
1956_Dry,01/08/1956,31/05/1957,303,2574
1957_Wet,01/06/1957,31/08/1957,91,2665
1957_Dry,01/09/1957,30/04/1958,241,2906
1958_Wet,01/05/1958,30/09/1958,152,3058
1958_Dry,01/10/1958,31/05/1959,242,3300
1959_Wet,01/06/1959,31/08/1959,91,3391
1959_Dry,01/09/1959,29/02/1960,181,3572
1960_Wet,01/03/1960,31/07/1960,152,3724
1960_Dry,01/08/1960,31/05/1961,303,4027
1961_Wet,01/06/1961,31/08/1961,91,4118
1961_Dry,01/09/1961,30/04/1962,241,4359
1962_Wet,01/05/1962,31/07/1962,91,4450
1962_Dry,01/08/1962,31/12/1962,152,4602
1963_Wet,01/01/1963,31/08/1963,242,4844
1963_Dry,01/09/1963,31/05/1964,273,5117
1964_Wet,01/06/1964,31/07/1964,60,5177
1964_Dry,01/08/1964,30/04/1965,272,5449
1965_Wet,01/05/1965,31/08/1965,122,5571
1965_Dry,01/09/1965,31/05/1966,272,5843
1966_Wet,01/06/1966,31/08/1966,91,5934
1966_Dry,01/09/1966,30/04/1967,241,6175
1967_Wet,01/05/1967,31/07/1967,91,6266
1967_Dry,01/08/1967,31/03/1968,243,6509
1968_Wet,01/04/1968,30/09/1968,182,6691
1968_Dry,01/10/1968,30/04/1969,211,6902
1969_Wet,01/05/1969,31/07/1969,91,6993
1969_Dry,01/08/1969,30/04/1970,272,7265
1970_Wet,01/05/1970,30/09/1970,152,7417
1970_Dry,01/10/1970,28/02/1971,150,7567
1971_Wet,01/03/1971,31/08/1971,183,7750
1971_Dry,01/09/1971,31/05/1972,273,8023
1972_Wet,01/06/1972,31/08/1972,91,8114
1972_Dry,01/09/1972,30/04/1973,241,8355
1973_Wet,01/05/1973,30/09/1973,152,8507
1973_Dry,01/10/1973,28/02/1974,150,8657
1974_Wet,01/03/1974,31/08/1974,183,8840
1974_Dry,01/09/1974,28/02/1975,180,9020
1975_Wet,01/03/1975,31/10/1975,244,9264
1975_Dry,01/11/1975,31/07/1976,273,9537
1976_Wet,01/08/1976,31/10/1976,91,9628
1976_Dry,01/11/1976,31/05/1977,211,9839
1977_Wet,01/06/1977,31/08/1977,91,9930
1977_Dry,01/09/1977,31/05/1978,272,10202
1978_Wet,01/06/1978,30/09/1978,121,10323
1978_Dry,01/10/1978,31/05/1979,242,10565
1979_Wet,01/06/1979,31/08/1979,91,10656
1979_Dry,01/09/1979,30/04/1980,242,10898
1980_Wet,01/05/1980,31/08/1980,122,11020
1980_Dry,01/09/1980,30/04/1981,241,11261
1981_Wet,01/05/1981,31/08/1981,122,11383
1981_Dry,01/09/1981,31/05/1982,272,11655
1982_Wet,01/06/1982,30/09/1982,121,11776
1982_Dry,01/10/1982,31/05/1983,242,12018
1983_Wet,01/06/1983,30/09/1983,121,12139
1983_Dry,01/10/1983,29/02/1984,151,12290
1984_Wet,01/03/1984,31/07/1984,152,12442
1984_Dry,01/08/1984,30/06/1985,333,12775
1985_Wet,01/07/1985,31/08/1985,61,12836
1985_Dry,01/09/1985,30/04/1986,241,13077
1986_Wet,01/05/1986,31/08/1986,122,13199
1986_Dry,01/09/1986,31/05/1987,272,13471
1987_Wet,01/06/1987,31/08/1987,91,13562
1987_Dry,01/09/1987,31/03/1988,212,13774
1988_Wet,01/04/1988,31/08/1988,152,13926
1988_Dry,01/09/1988,30/04/1989,241,14167
1989_Wet,01/05/1989,31/07/1989,91,14258
1989_Dry,01/08/1989,31/12/1989,152,14410
1990_Wet,01/01/1990,31/10/1990,303,14713
1990_Dry,01/11/1990,31/05/1991,211,14924
1991_Wet,01/06/1991,31/07/1991,60,14984
1991_Dry,01/08/1991,31/03/1992,243,15227
1992_Wet,01/04/1992,30/09/1992,182,15409
1992_Dry,01/10/1992,30/04/1993,211,15620
1993_Wet,01/05/1993,31/08/1993,122,15742
1993_Dry,01/09/1993,30/04/1994,241,15983
1994_Wet,01/05/1994,31/08/1994,122,16105
1994_Dry,01/09/1994,30/04/1995,241,16346
1995_Wet,01/05/1995,31/07/1995,91,16437
1995_Dry,01/08/1995,31/05/1996,304,16741
1996_Wet,01/06/1996,30/09/1996,121,16862
1996_Dry,01/10/1996,31/03/1997,181,17043
1997_Wet,01/04/1997,30/09/1997,182,17225
1997_Dry,01/10/1997,30/04/1998,211,17436
1998_Wet,01/05/1998,31/07/1998,91,17527
1998_Dry,01/08/1998,28/02/1999,211,17738
1999_Wet,01/03/1999,30/09/1999,213,17951
1999_Dry,01/10/1999,29/02/2000,151,18102
2000_Wet,01/03/2000,31/08/2000,183,18285
2000_Dry,01/09/2000,30/04/2001,241,18526
2001_Wet,01/05/2001,30/09/2001,152,18678
2001_Dry,01/10/2001,31/05/2002,242,18920
2002_Wet,01/06/2002,31/08/2002,91,19011
2002_Dry,01/09/2002,30/04/2003,241,19252
2003_Wet,01/05/2003,30/09/2003,152,19404
2003_Dry,01/10/2003,30/04/2004,212,19616
2004_Wet,01/05/2004,30/09/2004,152,19768
2004_Dry,01/10/2004,30/04/2005,211,19979
2005_Wet,01/05/2005,30/09/2005,152,20131
2005_Dry,01/10/2005,30/06/2007,637,20768
2007_Wet,01/07/2007,31/07/2007,30,20798
2007_Dry,01/08/2007,31/05/2008,304,21102
2008_Wet,01/06/2008,31/07/2008,60,21162
2008_Dry,01/08/2008,30/04/2009,272,21434
2009_Wet,01/05/2009,31/08/2009,122,21556
2009_Dry,01/09/2009,30/04/2010,241,21797
2010_Wet,01/05/2010,31/08/2010,122,21919
2010_Dry,01/09/2010,30/04/2011,241,22160
2011_Wet,01/05/2011,30/09/2011,152,22312
2011_Dry,01/10/2011,31/05/2012,243,22555
2012_Wet,01/06/2012,30/09/2012,121,22676
2012_Dry,01/10/2012,28/02/2013,150,22826
2013_Wet,01/03/2013,30/09/2013,213,23039
2013_Dry,01/10/2013,31/03/2014,181,23220
2014_Wet,01/04/2014,30/09/2014,182,23402
2014_Dry,01/10/2014,31/05/2015,242,23644
2015_Wet,01/06/2015,31/08/2015,91,23735
2015_Dry,01/09/2015,31/03/2016,212,23947
2016_Wet,01/04/2016,31/08/2016,152,24099
2016_Dry,01/09/2016,30/06/2017,302,24401
2017_Wet,01/07/2017,31/08/2017,61,24462
2017_Dry,01/09/2017,30/04/2018,241,24703
2018_Wet,01/05/2018,31/08/2018,122,24825
2018_Dry,01/09/2018,31/05/2019,272,25097
2019_Wet,01/06/2019,31/07/2019,60,25157
2019_Dry,01/08/2019,31/05/2020,304,25461
2020_Wet,01/06/2020,31/08/2020,91,25552
2020_Dry,01/09/2020,31/01/2021,152,25704
2021_Wet,01/02/2021,31/10/2021,272,25976
2021_Dry,01/11/2021,30/06/2022,241,26217
2022_Wet,01/07/2022,30/09/2022,91,26308
2022_Dry,01/10/2022,31/05/2023,242,26550
2023_Wet,01/06/2023,30/06/2023,29,26579
2023_Dry,01/07/2023,31/05/2024,335,26914
2024_Wet,01/06/2024,31/08/2024,91,27005
2024_Dry,01/09/2024,30/04/2025,241,27246
