Site Ref,Aquifer Name,Depth From/To (mbGL),Comments,Site Short Name,From (mbGL),To (mbGL),Inside Dia. (mm)
61610581,Perth-Leederville, - ,,JP21,36.4,54.4,140.0
61615150,Perth-Leederville, - ,Screened aquifer,AM22C,222.8,228.8,
61615151,Perth-Yarragadee North, - ,Screened aquifer  ,AM22D,538.5,547.5,
61615152,Perth-Yarragadee North, - ,Screened aquifer,AM14C,723.0,732.0,
61615153,Perth-Yarragadee North, - ,Screened aquifer,AM14D,299.0,305.0,
61615154,Perth-Leederville, - ,Screened aquifer,AM14E,139.0,145.0,
61615157,Perth-Yarragadee North, - ,Screened aquifer,AM17B,257.5,263.5,65.0
61615158,Perth-Leederville, - ,Screened aquifer,AM17C,145.25,151.25,
61615159,Perth-Yarragadee North, - ,Screened aquifer,AM21B,310.38,319.38,90.0
61615160,Perth-Leederville, - ,Screened aquifer,AM21C,123.0,132.0,
61615161,Perth-Leederville, - ,Screened aquifer  ,AM18B,187.0,193.0,
61615174,Perth-Leederville, - ,,AM74,342.7,348.7,80.0
61620166,Perth-Leederville, - ,Screened aquifer,AM12A,537.28,543.28,
61621501,Perth-Leederville, - ,Screened aquifer  ,Am15A,337.0,343.0,80.0
61710015,Perth-Leederville, - ,,YY10 (O),17.0,73.0,77.0
61710019,Perth-Leederville, - ,,YY8 (O),63.0,90.0,77.0
61710032,Perth-Leederville, - ,,YY3 (O),63.0,81.0,75.0
61710090,Perth-Leederville, - ,,GG11 (I),57.3,75.3,150.0
61710091,Perth-Leederville, - ,,GG11 (O),12.2,73.2,77.0
61710096,Perth-Leederville, - ,,GG6 (O),12.19,82.3,75.0
61710527,Perth-Leederville, - ,,Gingin Brook 11A,43.87,46.87,50.0
61710529,Perth-Leederville, - ,,Gingin Brook 12A,48.0,51.0,50.0
61710533,Perth-Leederville, - ,,Gingin Brook 14A,51.73,54.73,50.0
61710544,Perth-Yarragadee North, - ,,NG3A,223.0,229.0,65.0
61710545,Perth-Yarragadee North, - ,,NG3B,135.0,141.0,80.0
61715032,Perth-Leederville, - ,Screened aquifer,AM1A,467.66,479.66,80.0
61715033,Perth-Leederville, - ,Screened aquifer,AM2C,492.5,501.5,
61715034,Perth-Yarragadee North, - ,Screened aquifer,AM4C,431.0,440.0,
61715035,Perth-Leederville, - ,Screened aquifer,AM4D,184.1,190.1,
61715036,Perth-Yarragadee North, - ,Screened aquifer  ,AM13B,463.5,472.5,
61715037,Perth-Leederville, - ,Screened aquifer  ,AM13C,150.07,156.07,
61715039,Perth-Leederville, - ,Screened aquifer,AM3A,393.0,399.0,
61715040,Perth-Leederville, - ,Screened aquifer  ,AM7A,138.5,144.5,
61715041,Perth-Yarragadee North, - ,Screened aquifer,AM5B,291.0,310.0,65.0
61715042,Perth-Leederville, - ,Screened aquifer,AM5C,138.0,144.0,65.0
61715043,Perth-Yarragadee North, - ,Screened aquifer,AM6B,153.0,159.0,65.0
61715044,Perth-Leederville, - ,Screened aquifer,AM6C,48.0,54.0,
61715045,Perth-Leederville, - ,Screened aquifer,AM8B,637.3,646.3,
61715046,Perth-Yarragadee North, - ,Screened aquifer,AM2B,862.0,871.0,
61715047,Perth-Yarragadee North, - ,Screened aquifer,AM9B,207.25,213.25,
61715048,Perth-Leederville, - ,Screened aquifer,AM9C,96.0,102.0,
61715049,Perth-Yarragadee North, - ,Screened aquifer  ,AM10B,284.5,293.5,
61715050,Perth-Yarragadee North, - ,Screened aquifer,AM10C,102.0,108.0,
61715051,Perth-Leederville, - ,,AM76,270.6,276.6,80.0
